sweep	g1
1166	7.79106474E+002
1167	7.97830204E+002
1168	8.38148474E+002
1169	8.55390891E+002
1170	8.32201885E+002
1171	8.36710743E+002
1172	7.90135392E+002
1173	8.08070736E+002
1174	8.45546573E+002
1175	8.39476973E+002
1176	8.89969851E+002
1177	8.68883059E+002
1178	8.64284015E+002
1179	8.75398451E+002
1180	8.80804116E+002
1181	8.74198836E+002
1182	8.59696309E+002
1183	8.78484825E+002
1184	8.75304650E+002
1185	8.24124859E+002
1186	7.82102730E+002
1187	8.59016620E+002
1188	8.38142133E+002
1189	8.30331003E+002
1190	8.09546587E+002
1191	8.02047980E+002
1192	8.04702145E+002
1193	8.56832393E+002
1194	9.32489428E+002
1195	8.96988180E+002
1196	8.73682928E+002
1197	8.83155576E+002
1198	8.42493360E+002
1199	7.97303938E+002
1200	8.26832261E+002
1201	8.06748046E+002
1202	8.46735187E+002
1203	8.41443059E+002
1204	8.34764397E+002
1205	7.87150868E+002
1206	8.22702267E+002
1207	8.67171274E+002
1208	8.46702177E+002
1209	8.29781113E+002
1210	8.26071608E+002
1211	8.41233135E+002
1212	8.41109058E+002
1213	8.85447357E+002
1214	8.95038822E+002
1215	9.04590655E+002
1216	9.03872036E+002
1217	8.78758602E+002
1218	8.95328752E+002
1219	8.73233720E+002
1220	8.66238616E+002
1221	8.61196298E+002
1222	8.51563808E+002
1223	8.55814808E+002
1224	8.54950429E+002
1225	8.52982385E+002
1226	8.31798673E+002
1227	8.84313613E+002
1228	8.37006630E+002
1229	8.43977088E+002
1230	7.98878722E+002
1231	9.22985513E+002
1232	9.36202297E+002
1233	9.08011988E+002
1234	9.74283679E+002
1235	9.01422489E+002
1236	9.07561916E+002
1237	9.47399890E+002
1238	8.91988348E+002
1239	9.83076936E+002
1240	9.38786480E+002
1241	9.33373652E+002
1242	8.60301592E+002
1243	8.51940239E+002
1244	8.30350553E+002
1245	8.25449275E+002
1246	8.17352827E+002
