sweep	g_CM
1112	1.21089732E+002
1113	1.16470980E+002
1114	1.22346173E+002
1115	1.14982220E+002
1116	1.14069910E+002
1117	1.15450211E+002
1118	1.19073608E+002
1119	1.07066087E+002
1120	1.14390893E+002
1121	1.21128109E+002
1122	1.21811567E+002
1123	1.16325549E+002
1124	1.18361680E+002
1125	1.28335586E+002
1126	1.16959475E+002
1127	1.13570065E+002
1128	1.10043531E+002
1129	1.14538259E+002
1130	1.15543699E+002
1131	1.16065997E+002
1132	1.18944004E+002
1133	1.19998638E+002
1134	1.18312645E+002
1135	1.11096447E+002
1136	1.19636783E+002
1137	1.26532193E+002
1138	1.16965591E+002
1139	1.15269050E+002
1140	1.17269482E+002
1141	1.10593213E+002
1142	1.15616863E+002
1143	1.09151606E+002
1144	1.14282785E+002
1145	1.14180339E+002
1146	1.17859120E+002
1147	1.21772905E+002
1148	1.12781350E+002
1149	1.12362119E+002
1150	1.08904017E+002
1151	1.15251569E+002
1152	1.10462785E+002
1153	1.13165994E+002
1154	1.09466279E+002
1155	1.09720598E+002
1156	1.16809139E+002
1157	1.13564609E+002
1158	1.18823172E+002
1159	1.08101003E+002
1160	1.12213053E+002
1161	1.20507886E+002
1162	1.21403358E+002
1163	1.22983928E+002
1164	1.16587430E+002
1165	1.13087619E+002
1166	1.12236759E+002
1167	1.13659317E+002
1168	1.13837100E+002
1169	1.16699330E+002
1170	1.18583728E+002
1171	1.14878353E+002
1172	1.13487108E+002
1173	1.15714256E+002
1174	1.14120664E+002
1175	1.09930943E+002
1176	1.04975315E+002
1177	1.06552381E+002
1178	1.08220572E+002
1179	1.18457312E+002
1180	1.07213261E+002
1181	1.06605667E+002
1182	1.09798522E+002
1183	1.08044226E+002
1184	1.04527803E+002
1185	1.15605098E+002
1186	1.19343852E+002
1187	1.18558596E+002
1188	1.13180545E+002
1189	1.20146877E+002
1190	1.26069288E+002
1191	1.22096244E+002
1192	1.17259682E+002
1193	1.18448433E+002
1194	1.22051150E+002
1195	1.26382332E+002
1196	1.24270336E+002
1197	1.20598608E+002
1198	1.13706910E+002
1199	1.21688291E+002
1200	1.23109431E+002
1201	1.18099752E+002
1202	1.22704606E+002
1203	1.18823115E+002
1204	1.24024482E+002
1205	1.25243148E+002
1206	1.33515822E+002
1207	1.25401643E+002
1208	1.23271274E+002
1209	1.25199697E+002
1210	1.14246044E+002
1211	1.07071892E+002
1212	1.11638518E+002
1213	1.21156508E+002
1214	1.22775440E+002
1215	1.19548992E+002
1216	1.24806151E+002
1217	1.25489742E+002
1218	1.22066048E+002
1219	1.27332434E+002
1220	1.28017833E+002
1221	1.23216877E+002
1222	1.19839604E+002
1223	1.18463093E+002
1224	1.30044873E+002
1225	1.36381972E+002
1226	1.37777827E+002
1227	1.38057366E+002
1228	1.31932759E+002
1229	1.36974800E+002
1230	1.34901696E+002
1231	1.39208476E+002
1232	1.30941864E+002
1233	1.22512855E+002
1234	1.28612534E+002
1235	1.31361101E+002
1236	1.24393955E+002
1237	1.27849776E+002
1238	1.28529728E+002
1239	1.29188282E+002
1240	1.29997744E+002
1241	1.37054504E+002
1242	1.28759600E+002
1243	1.38021007E+002
1244	1.25204253E+002
1245	1.29241859E+002
1246	1.32008026E+002
